"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G01000300116012","010030116012","66","4"
"G01000300116013","010030116013","38","1"
"G01000300116014","010030116014","59","3"
"G01000300116031","010030116031","67","4"
"G01000300116032","010030116032","70","4"
"G01000300116041","010030116041","69","4"
"G01000300116042","010030116042","75","5"
"G01000309900000","010039900000","PH","PH"
"G01000509501001","010059501001","79","6"
"G01000509501002","010059501002","90","8"
"G01000509502001","010059502001","95","9"
"G01000509502002","010059502002","GQ","GQ"
"G01000509502003","010059502003","94","9"
"G01000509503001","010059503001","95","9"
"G01000509503002","010059503002","92","8"
"G01000509504001","010059504001","94","9"
"G01000509504002","010059504002","GQ","GQ"
"G01000509504003","010059504003","100","10"
"G01000509505001","010059505001","94","9"
"G01000509505002","010059505002","94","9"
"G01000509505003","010059505003","97","9"
"G01000509506001","010059506001","99","10"
"G01000509506002","010059506002","89","8"
"G01000509507001","010059507001","71","4"
"G01000509507002","010059507002","92","8"
"G01000509508001","010059508001","89","8"
"G01000509508002","010059508002","84","6"
"G01000509509001","010059509001","77","5"
"G01000509509002","010059509002","87","7"
"G01000509509003","010059509003","90","8"
"G01000700100011","010070100011","94","9"
"G01000700100012","010070100012","96","9"
"G01000700100051","010070100051","70","4"
"G01000700100052","010070100052","93","8"
"G01000700100053","010070100053","64","3"
"G01000700100061","010070100061","64","3"
"G01000700100062","010070100062","75","5"
"G01000700100071","010070100071","95","9"
"G01000700100072","010070100072","89","8"
"G01000700100081","010070100081","84","6"
"G01000700100082","010070100082","84","6"
"G01000700100091","010070100091","92","8"
"G01000700100092","010070100092","GQ","GQ"
"G01000700100093","010070100093","100","10"
"G01000700100101","010070100101","74","5"
"G01000700100102","010070100102","71","4"
"G01000700100111","010070100111","91","8"
"G01000700100112","010070100112","78","5"
"G01000900501031","010090501031","74","5"
"G01000900501041","010090501041","66","4"
"G01000900501042","010090501042","83","6"
"G01000900501051","010090501051","70","4"
"G01000900501052","010090501052","62","3"
"G01000900501053","010090501053","59","3"
"G01000900501054","010090501054","86","7"
"G01000900501061","010090501061","94","9"
"G01000900501062","010090501062","72","4"
"G01000900501071","010090501071","88","7"
"G01000900501072","010090501072","72","4"
"G01000900502001","010090502001","81","6"
"G01000900502002","010090502002","81","6"
"G01000900503011","010090503011","78","5"
"G01000900503012","010090503012","70","4"
"G01000900503021","010090503021","89","8"
"G01000900503022","010090503022","81","6"
"G01000900504001","010090504001","77","5"
